MOF structural features and topology,composition,Cv_gravimetric_300.00 (gravimetric heat capacity at 300 K),pCv_250.00 (predicted gravimetric heat capacity at 250 K),pCv_275.00 (predicted gravimetric heat capacity at 275 K),pCv_300.00 (predicted gravimetric heat capacity at 300 K),pCv_325.00 (predicted gravimetric heat capacity at 325 K),pCv_350.00 (predicted gravimetric heat capacity at 350 K),pCv_375.00 (predicted gravimetric heat capacity at 375 K),pCv_400.00 (predicted gravimetric heat capacity at 400 K)
"linker C(Cn1nncn1)Cn1nncn1, nodes [Zn], topology rna",,,11.36992357,12.17657415,12.96530927,13.72622498,14.45174707,15.13687503,15.77892223
"linker C(Cn1nncn1)Cn1nncn1, nodes [Zn], topology rna",,,10.51975867,11.25233108,11.98361669,12.70395798,13.40469095,14.07894805,14.72184412
"linker C(Cn1nncn1)Cn1nncn1, nodes [Zn], topology rna",,,11.53722962,12.2789272,13.00847506,13.71656953,14.39607909,15.04210311,15.65172126
"linker C(Cn1nncn1)Cn1nncn1, nodes [Zn], topology rna",,,9.702269942,10.40128703,11.09941401,11.79172348,12.47213575,13.13470113,13.77434495
"linker C(Cn1nncn1)Cn1nncn1, nodes [Zn], topology rna",,,11.50093614,12.29078384,13.06588267,13.81573352,14.53221588,15.20987313,15.84565893
"linker C(Cn1nncn1)Cn1nncn1, nodes [Zn], topology rna",,,10.79651265,11.51540768,12.23571063,12.94656127,13.63854475,14.30436757,14.93893434
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,19.71840669,20.14471695,20.47854433,20.74444009,20.95944071,21.13562216,21.28171498
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,3.675194454,4.403686031,5.143711052,5.876693029,6.589414977,7.273278727,7.923369879
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,3.77138257,4.487922151,5.216986922,5.940068005,6.643928326,7.319889586,7.962924104
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,3.93645953,4.676414026,5.419881929,6.150196089,6.855891448,7.529799638,8.168096022
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,3.464380233,4.168812937,4.893040153,5.617125857,6.326446946,7.011127993,7.665172638
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,3.93631136,4.676265611,5.419732514,6.150045982,6.855741454,7.529650725,8.167949134
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,3.464902027,4.169387782,4.893653138,5.617763453,6.327097504,7.011781875,7.665822141
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,3.675069947,4.403563172,5.143591818,5.876578865,6.589306773,7.273176894,7.923274455
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,3.77162368,4.488175348,5.217238993,5.940310672,6.644156936,7.320101969,7.963119698
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,4.016319175,4.757355042,5.500805265,6.23014453,6.934055814,7.605504811,8.240780881
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,4.031670759,4.781219854,5.533040642,6.269916853,6.980189327,7.656718032,8.295830357
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,4.017042257,4.758095767,5.501547386,6.230876137,6.934768586,7.606193231,8.241441546
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,4.03120976,4.780709679,5.532497188,6.269353622,6.979617281,7.656145768,8.295264415
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.846560384,9.550077684,10.24996637,10.93981378,11.61360514,12.266241,12.89376379
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,9.115268679,9.797694666,10.48256838,11.16154566,11.82711838,12.47311575,13.0948587
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.946973213,9.641637437,10.33288073,11.0143894,11.68029511,12.32561929,12.9464768
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,9.209723245,9.892511447,10.57642605,11.25353586,11.91662195,12.55971834,13.17829461
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.946317649,9.641096831,10.33243366,11.01401845,11.67998616,12.32536088,12.94625967
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,9.208662487,9.891531954,10.57552723,11.25271443,11.91587314,12.55903669,13.17767444
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.845955562,9.549518874,10.24944662,10.93932851,11.61315114,12.26581581,12.89336536
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,9.113468951,9.796022774,10.48100628,11.16007986,11.82573864,12.47181409,13.09362872
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.941307746,9.624819244,10.30834308,10.9848975,11.64798356,12.29207551,12.9128396
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,9.271274464,9.957996102,10.64638668,11.32811756,11.99566017,12.64281617,13.26489721
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.941672519,9.625191766,10.30872188,10.98528078,11.64836923,12.29246138,12.91322355
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,9.271501628,9.958160055,10.64650108,11.32819332,11.99570591,12.6428387,13.26490186
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.11770319,10.91519037,11.69792028,12.45698632,13.18534374,13.87806416,14.53217449
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.90901743,11.66275376,12.40229849,13.11887334,13.80580814,14.45859062,15.07459925
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.86368197,9.576004281,10.28434975,10.98515141,11.67341036,12.34392462,12.99206427
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,12.04321538,12.77266174,13.47091252,14.13646258,14.76779443,15.36382072,15.92407021
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.11735608,10.90382355,11.67748161,12.42937135,13.15228002,13.84104972,14.49246053
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.92502322,11.66684344,12.39682534,13.1059935,13.78739541,14.43620813,15.04950987
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.92389338,9.634508977,10.3412665,11.04050221,11.72715893,12.39600823,13.04241658
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,12.16378822,12.90292018,13.60858445,14.2793618,14.91391654,15.5114027,16.07161641
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.11779173,10.9042241,11.67785337,12.42971873,13.15260613,13.84135684,14.49275039
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.92398675,11.66590967,12.39597908,13.10522249,13.78668969,14.43555953,15.04891163
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.923439096,9.634058447,10.34081748,11.04005437,11.72671318,12.39556617,13.04198007
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,12.16565489,12.90432079,13.6096282,14.2801317,14.9144758,15.51179963,16.07188803
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.11659948,10.91422197,11.69706852,12.4562352,13.18467949,13.87747497,14.53165023
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.90986258,11.6635819,12.40310055,13.11964365,13.80654339,14.45928921,15.0752608
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.864156912,9.576422682,10.28471453,10.98546741,11.67368315,12.34415976,12.99226694
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,12.04567782,12.774854,13.47288339,14.13824823,14.76942233,15.36531227,15.92544249
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.15312641,10.93280641,11.70159084,12.45031522,13.17142036,13.85938087,14.51065074
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.8948794,11.62676238,12.35191152,13.06025039,13.74370427,14.39645739,15.01478937
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.804848646,9.519682002,10.23011204,10.93243672,11.62172794,12.29292727,12.94155219
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,12.28256042,13.0351682,13.75409289,14.43678986,15.08126866,15.686408,16.25199521
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.15318165,10.93281226,11.70155882,12.45025483,13.17133928,13.85928519,14.51054522
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,10.89555662,11.62738379,12.35248088,13.06077168,13.74418157,14.39689469,15.01519047
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,8.804624711,9.519450227,10.22987114,10.93218744,11.62147212,12.29266719,12.94129019
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",,,12.27837952,13.03135313,13.75058351,14.43354382,15.07825473,15.68360198,16.24937746
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,17.38445687,18.13514807,18.75149478,19.26155952,19.68707187,20.04485101,20.34795952
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,17.36662036,18.11933771,18.73745793,19.24906111,19.67590348,20.03483235,20.33893651
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,19.30403971,19.83701635,20.26282366,20.60759824,20.89018161,21.12436744,21.32040419
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,1.967365894,2.458205761,3.006677066,3.601129895,4.229900084,4.882221047,5.548628178
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,3.327576231,3.996013835,4.684551264,5.376390471,6.058433942,6.721274803,7.358758321
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,1.951197187,2.43862955,2.984222631,3.576552689,4.204065065,4.856000594,5.522827386
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,3.323030817,3.990666906,4.678520237,5.369810726,6.05144232,6.713999047,7.351311371
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,1.962464502,2.452358948,2.999985641,3.593774487,4.222109162,4.874239867,5.540693942
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,3.325058039,3.993372758,4.681850848,5.373681895,6.055756326,6.71865662,7.356219235
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,1.9498532,2.437297761,2.983060587,3.575693422,4.203609561,4.856016439,5.523351438
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,3.323273463,3.990966024,4.678887304,5.370247092,6.051942916,6.714555242,7.35191299
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,9.181913278,10.0133348,10.80843607,11.5657317,12.2843501,12.96396991,13.60477712
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,7.406509901,8.242835124,9.063854785,9.865214387,10.64259411,11.39212416,12.11066957
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,7.311339394,8.153265907,8.980732427,9.788651852,10.57231282,11.32766118,12.05149681
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,6.646183839,7.470584053,8.283848629,9.080068555,9.854675221,10.60401224,11.3251885
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,6.719221758,7.519728339,8.314253426,9.095749445,9.858658507,10.59854183,11.31192821
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,9.178429609,10.00962647,10.80453798,11.56168665,12.28020241,12.9597618,13.60054676
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,7.429524346,8.263222705,9.081629868,9.880527554,10.65566469,11.40319773,12.11999254
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,7.278771591,8.124863062,8.956150804,9.76748354,10.55413989,11.31208587,12.03815653
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,6.660754783,7.483008814,8.294443464,9.089146074,9.862522324,10.61087764,11.33127876
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,6.71569616,7.519430734,8.316250392,9.099347935,9.863342121,10.6039271,11.31773253
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,9.178614376,10.0095779,10.80428145,11.56123722,12.27957402,12.95897036,13.59961041
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,7.407204491,8.242990952,9.063443232,9.864245557,10.64110544,11.39017008,12.10831307
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,7.307340037,8.149716207,8.977640635,9.786000701,10.57007027,11.32578786,12.04995095
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,6.64427448,7.468851657,8.282190671,9.078422028,9.853004393,10.60229989,11.32342961
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,6.723388487,7.523973855,8.318535801,9.100019065,9.862867403,10.60264849,11.31589955
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,9.179798993,10.01071241,10.80541157,11.56239735,12.28078581,12.96024433,13.60094852
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,7.432771187,8.265925706,9.08384648,9.882313009,10.65707189,11.40427653,12.12078906
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,7.278640315,8.124337123,8.955312276,9.766396486,10.55285644,11.31064958,12.03660421
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,6.657483173,7.480272133,8.292158131,9.087237407,9.860925541,10.6095378,11.33015003
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,6.721062261,7.523354364,8.319052628,9.101268371,9.864564364,10.60459468,11.31795932
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,13.74341735,14.61789689,15.40616356,16.11726648,16.75939326,17.3398698,17.86522181
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,14.79799008,15.54681416,16.21297938,16.80958517,17.34702806,17.83357533,18.27585001
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,13.7728664,14.66072797,15.45877514,16.17671142,16.82330682,17.40638661,17.93289485
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,15.38861333,16.0362531,16.62393476,17.1590214,17.64763729,18.09489243,18.50509007
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,13.85383693,14.7185211,15.49818274,16.20167378,16.83702844,17.41145127,17.93137035
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,14.79225095,15.53687724,16.20125434,16.79746894,17.33530497,17.82265938,18.26593256
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,13.82267105,14.70280086,15.49455038,16.20736877,16.84979682,17.42946735,17.95316868
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,14.94316273,15.64653364,16.28025862,16.85378095,17.37478538,17.84957088,18.28335768
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,13.73560764,14.61179442,15.40130436,16.113327,16.75614529,17.33715025,17.86291248
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,14.76534376,15.51775375,16.18696428,16.78617019,17.32584646,17.81432417,18.25827791
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,13.77495235,14.66238635,15.4601044,16.17779364,16.82420669,17.40715317,17.93356423
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,15.42259575,16.06396445,16.64687499,17.17824831,17.66391891,18.10880072,18.51706045
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,13.89409806,14.75372221,15.52912215,16.22900813,16.86129919,17.43310626,17.95078122
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,14.76567834,15.51287762,16.17944474,16.77754882,17.31703334,17.80583923,18.25040008
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,13.83645005,14.71455639,15.5047394,16.21631002,16.85771976,17.43654263,17.95952713
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,15.04846708,15.7387182,16.36168395,16.9262619,17.43974109,17.90812812,18.33642344
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,15.06308722,16.01413984,16.81462329,17.4939509,18.07572897,18.57860434,19.01721305
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",,,15.06310702,16.01390282,16.8142232,17.49346124,18.07520696,18.57809386,19.01674699
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,16.44622288,17.15642727,17.78306037,18.33532844,18.82184605,19.25059286,19.62882862
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,18.91119797,19.39179594,19.80958291,20.17370987,20.49179548,20.77031398,21.0148039
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,15.98819773,16.74146898,17.40854192,17.99762092,18.51708113,18.97504388,19.3790799
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,17.09820716,17.77717239,18.36794561,18.88253572,19.33145909,19.72388905,20.0677705
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,20.2211574,20.67982289,21.04278321,21.33435464,21.57176285,21.76742746,21.93045544
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,18.78956182,19.39909944,19.89807562,20.30997648,20.65285992,20.94062611,21.18402222
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.1711085,3.790880617,4.439584794,5.100554302,5.760065618,6.40771483,7.036227685
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.383256918,4.04169178,4.722557094,5.408437448,6.085810059,6.744994756,7.379667454
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.526154312,4.189453388,4.872854588,5.559288461,6.235598136,6.892449531,7.5238261
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.38507709,4.003473828,4.643928737,5.291920169,5.935609734,6.566052138,7.177000963
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.970486954,4.53423853,5.12430794,5.727164251,6.331090383,6.926851893,7.507757115
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.323086689,3.926329734,4.55576468,5.196433833,5.835916794,6.464684207,7.075970244
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.665755729,4.326363832,5.004699634,5.684381085,6.352882001,7.001371409,7.624198016
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.473528424,4.142785844,4.831985783,5.523857657,6.20512372,6.86639666,7.501654985
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.47169439,4.099227502,4.747802739,5.402594502,6.051627437,6.685960536,7.299451401
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.973071976,4.537290062,5.127864035,5.731144672,6.335376191,6.931325747,7.512320776
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.42923391,4.057263735,4.707784441,5.365537735,6.018163916,6.656421817,7.273955706
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.496239613,4.16066311,4.845151281,5.532572285,6.209765167,6.867415811,7.49953261
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.489096199,4.151657437,4.83505489,5.522039625,6.199298299,6.857368696,7.490133917
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.371726847,3.989869685,4.630478839,5.278957454,5.923392022,6.554775298,7.166815536
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.99490018,4.560051606,5.150923542,5.754084441,6.357921693,6.953296774,7.533599538
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.381711778,3.989072916,4.621442999,5.263948585,5.904302814,6.533127897,7.14380797
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.672744322,4.33868966,5.022351166,5.706976919,6.379821177,7.031954729,7.657713742
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.510257129,4.179219781,4.86789959,5.559025089,6.239342792,6.89950279,7.533525053
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.325343593,3.949725503,4.597745356,5.254135336,5.906440391,6.545282297,7.164154294
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,3.946238747,4.5040169,5.08897013,5.687554735,6.288052516,6.881213118,7.460307862
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,9.281642398,10.03367509,10.76668125,11.47705184,12.16144147,12.81712122,13.44213234
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,9.726099805,10.46395353,11.18104528,11.8740445,12.54000831,13.17665668,13.78245964
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,7.942640883,8.688970488,9.428192138,10.15692325,10.87112358,11.56664732,12.2397142
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,9.696490596,10.43878609,11.15761039,11.85035104,12.51478378,13.14921816,13.75255684
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,9.216284396,9.96716047,10.70008445,11.41101326,12.09635629,12.75324352,13.37963085
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,10.09679353,10.82093638,11.51916025,12.19000683,12.83217218,13.44465738,14.02685162
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,9.332792557,10.05793763,10.76923994,11.46202216,12.13216787,12.77637368,13.39223299
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",,,9.820629216,10.53167161,11.22690845,11.90197537,12.55318825,13.17771827,13.77361027
